Prandtl,taux,Nu,chi
50.0,6.412500000000001e-9,1.0752924457081943,1.0
50.0,6.412500000000001e-9,2.8748110313645014,5.0
60.0,6.412500000000001e-9,2.6843149988273707,5.0
80.0,6.412500000000001e-9,2.7290791691781524,5.0
100.0,6.412500000000001e-9,2.678262868291662,5.0
1.0,6.412500000000001e-9,1.022787644773632,8.0
1.5,6.412500000000001e-9,1.0235312961035326,8.0
2.0,6.412500000000001e-9,1.037062549358815,8.0
3.0,6.412500000000001e-9,1.0240244154714087,8.0
4.0,6.412500000000001e-9,1.1577752361095046,8.0
5.0,6.412500000000001e-9,1.0507305626518921,8.0
60.0,6.412500000000001e-9,1.4350755612459225,1.0
6.0,6.412500000000001e-9,1.2953646251900537,8.0
8.0,6.412500000000001e-9,2.397674193769225,8.0
10.0,6.412500000000001e-9,2.046983949898996,8.0
12.0,6.412500000000001e-9,2.678920741298327,8.0
15.0,6.412500000000001e-9,3.1444922621979026,8.0
20.0,6.412500000000001e-9,3.3009423980782877,8.0
30.0,6.412500000000001e-9,3.0676534441337933,8.0
40.0,6.412500000000001e-9,3.280739005985982,8.0
50.0,6.412500000000001e-9,3.224787411043683,8.0
60.0,6.412500000000001e-9,3.3132434348060023,8.0
80.0,6.412500000000001e-9,1.3339374662530032,1.0
80.0,6.412500000000001e-9,3.1539780404329596,8.0
100.0,6.412500000000001e-9,3.1761504139306513,8.0
1.0,6.412500000000001e-9,1.4305960282970438,10.0
1.5,6.412500000000001e-9,1.057578172859792,10.0
2.0,6.412500000000001e-9,1.064563490077361,10.0
3.0,6.412500000000001e-9,1.0794201706876676,10.0
4.0,6.412500000000001e-9,1.224186519270117,10.0
5.0,6.412500000000001e-9,1.5725991961786028,10.0
6.0,6.412500000000001e-9,1.5891789385783481,10.0
8.0,6.412500000000001e-9,3.294884936114411,10.0
100.0,6.412500000000001e-9,1.0586489829373926,1.0
10.0,6.412500000000001e-9,3.54807898694207,10.0
12.0,6.412500000000001e-9,3.499961139694032,10.0
15.0,6.412500000000001e-9,3.5273024195621128,10.0
20.0,6.412500000000001e-9,3.622914627128662,10.0
30.0,6.412500000000001e-9,3.5855168053230106,10.0
40.0,6.412500000000001e-9,3.446817850097191,10.0
50.0,6.412500000000001e-9,3.5819394362489594,10.0
60.0,6.412500000000001e-9,3.568228540631059,10.0
80.0,6.412500000000001e-9,3.5093337680999452,10.0
100.0,6.412500000000001e-9,3.40039175288761,10.0
1.0,6.412500000000001e-9,1.1213759999945407,1.25
1.0,6.412500000000001e-9,1.3142907419888328,20.0
1.5,6.412500000000001e-9,1.0099153871336133,20.0
2.0,6.412500000000001e-9,1.2609925542336762,20.0
3.0,6.412500000000001e-9,1.5020529680177743,20.0
4.0,6.412500000000001e-9,1.8631295936815062,20.0
5.0,6.412500000000001e-9,3.154591371900034,20.0
6.0,6.412500000000001e-9,3.6511552946863266,20.0
8.0,6.412500000000001e-9,3.913202945068233,20.0
10.0,6.412500000000001e-9,4.12178430318476,20.0
12.0,6.412500000000001e-9,4.116584901987456,20.0
1.5,6.412500000000001e-9,1.005802159495443,1.25
15.0,6.412500000000001e-9,4.1500640832266225,20.0
20.0,6.412500000000001e-9,4.347500233658012,20.0
30.0,6.412500000000001e-9,4.463115294225472,20.0
40.0,6.412500000000001e-9,4.211350998931661,20.0
50.0,6.412500000000001e-9,3.9871889191935725,20.0
60.0,6.412500000000001e-9,4.274956266593069,20.0
